50000 100000
27004 32769 284
29105 25478 29
23707 17615 113
13086 40504 424
23404 28291 274
22208 41823 64
20538 46464 769
49799 36350 134
1 13207 409
31679 34621 262
9502 41709 612
14691 13612 247
24177 46458 853
17635 10660 780
32440 65 292
31433 32733 725
37533 6836 745
38167 12030 636
44547 13809 993
10263 2966 155
25666 8161 126
21439 7183 553
3122 8269 938
18081 41381 790
33659 11358 288
38582 33615 546
39616 25398 985
6584 30878 830
2671 18904 990
44431 35094 984
48425 39703 6
21736 12750 433
48031 44481 248
34896 41061 420
47999 48038 890
26199 44056 83
23880 36582 568
8450 41008 95
12819 42114 428
28613 36992 870
38815 8020 77
36231 28951 399
45862 46536 108
18403 10888 86
13440 47272 258
38209 44115 629
45949 23925 860
10117 9241 352
5014 41654 478
43234 15738 678
28706 4931 245
15822 15357 266
26114 27438 579
42179 13996 332
26103 36074 450
22399 44513 408
32749 37437 837
39923 28073 163
30598 7483 876
46074 5831 394
19692 13938 7
24975 25306 311
1060 25669 401
25484 5656 775
1 45343 277
43478 25286 46
13096 33122 870
14306 3075 234
15578 40224 824
28705 36794 75
13906 45187 729
4379 33147 881
1604 24612 801
11718 1995 821
21924 47497 231
38879 1188 174
23763 9469 930
1 26616 313
47430 47571 35
27999 34374 589
36694 289 147
35357 46314 720
43029 41453 846
49903 18653 517
36118 21368 294
13799 32135 153
30596 34140 250
10593 2231 531
5218 33237 115
16361 14474 667
49147 1018 10
23313 46084 212
5322 16651 828
27074 1339 31
7191 29986 661
28813 38326 628
41284 15270 175
9135 17236 224
14039 5958 622
34977 27122 713
13554 23989 79
28233 37096 873
26592 23951 172
10471 25223 982
16969 44606 133
38410 29188 252
6183 33386 585
12441 32666 512
18015 13149 515
13307 12153 404
3079 44246 310
25102 25720 821
14641 48585 178
39021 40543 827
39223 28125 937
33657 48118 430
49316 20547 929
41992 46064 400
30146 45683 98
15204 47496 999
49022 39508 161
42235 16139 648
21645 48474 671
6563 1870 478
7524 13207 408
34924 28486 809
25248 22515 485
22006 33910 314
7502 42167 711
3119 25730 164
24742 91 777
6002 18560 307
46173 35187 702
12266 16251 616
1 4083 529
16191 32777 544
2275 10851 211
1 21428 614
1 16541 118
10660 46194 430
30875 36439 136
23328 28643 230
27235 8442 339
4498 630 515
39035 44606 131
41835 33400 484
42555 44007 940
7478 24717 416
19814 168 549
2092 27869 633
11891 43195 724
1 35213 720
9069 15516 559
1 40347 849
36594 21303 368
45628 18185 660
10226 7707 316
10800 10619 282
21363 37037 27
28633 14806 929
1 27645 363
45370 22898 861
35485 10380 196
19098 9006 706
8320 32231 239
23070 10994 604
7949 13505 640
39843 42816 30
21993 48233 996
1 19545 647
44834 48309 395
29944 36526 193
5706 39549 759
1 32666 510
26222 14163 809
22426 39408 22
42835 28145 336
29625 29067 568
10062 41555 913
1 44579 375
42084 39555 772
8957 45609 785
9723 33409 267
1 30224 347
1 43976 562
14342 23951 172
47677 11190 163
39988 10948 209
1 4000 457
36023 7445 261
7387 6148 861
43463 39421 507
39621 19022 656
10555 41321 444
3625 31235 688
20325 12600 46
1315 32285 217
32427 42451 627
33646 14143 834
10726 37639 590
31760 13807 593
31603 46998 82
47311 37522 273
1 8326 715
45873 43802 72
20458 33395 796
32773 9959 117
855 8090 79
1 39204 625
8697 11917 170
18381 3453 640
31502 11428 382
44193 45168 804
1 46736 704
31238 27276 458
5743 7061 302
36778 14085 357
3935 4996 65
2262 21631 748
4466 36057 356
44357 33321 143
26655 49228 746
7878 33062 947
1 31092 707
41875 7382 344
8418 16009 228
3285 37217 379
19769 48098 474
4484 21303 367
15204 23682 54
3820 30452 297
22955 49498 81
31093 10875 802
19615 21605 587
11840 9639 838
20177 38217 843
22988 31622 696
45600 17111 665
3244 36112 853
35551 5358 354
36393 18736 291
17906 46414 825
9727 16453 505
8509 23656 350
3115 29517 978
2811 28505 242
15432 21860 684
4999 19346 341
36784 41555 915
32133 22133 75
46523 6459 619
40711 1427 969
