50000 100000
1 17209 69510
17209 24728 69511
24728 33122 69512
33122 29548 69513
29548 32151 69514
32151 30117 69515
30117 19001 69516
19001 17250 69517
17250 21664 69518
21664 22795 69519
22795 3424 69520
3424 9335 69521
9335 9424 69522
9424 14593 69523
14593 17197 69524
17197 3562 69525
3562 39147 69526
39147 39441 69527
39441 28524 69528
28524 6289 69529
6289 13573 69530
13573 3258 69531
3258 26302 69532
26302 7763 69533
7763 3176 69534
3176 23263 69535
23263 32804 69536
32804 2990 69537
2990 33954 69538
33954 23637 69539
23637 42824 69540
42824 30033 69541
30033 20404 69542
20404 42457 69543
42457 30612 69544
30612 31587 69545
31587 23364 69546
23364 37848 69547
37848 31832 69548
31832 25323 69549
25323 20748 69550
20748 28694 69551
28694 15656 69552
15656 34981 69553
34981 31369 69554
31369 2456 69555
2456 6668 69556
6668 7683 69557
7683 11196 69558
11196 35561 69559
35561 44895 69560
44895 39898 69561
39898 20540 69562
20540 24681 69563
24681 1425 69564
1425 12641 69565
12641 771 69566
771 18633 69567
18633 28821 69568
28821 19110 69569
19110 26541 69570
26541 33104 69571
33104 12355 69572
12355 43320 69573
43320 46940 69574
46940 42585 69575
42585 23543 69576
23543 26829 69577
26829 38790 69578
38790 18259 69579
18259 28576 69580
28576 10190 69581
10190 27621 69582
27621 26640 69583
26640 8882 69584
8882 31399 69585
31399 35750 69586
35750 36518 69587
36518 27749 69588
27749 4152 69589
4152 12171 69590
12171 721 69591
721 25027 69592
25027 11318 69593
11318 32233 69594
32233 9679 69595
9679 23694 69596
23694 2970 69597
2970 37435 69598
37435 30850 69599
30850 16359 69600
16359 13185 69601
13185 34253 69602
34253 15202 69603
15202 1912 69604
1912 34826 69605
34826 2945 69606
2945 26056 69607
26056 46476 69608
46476 25627 69609
25627 40637 69610
40637 11844 69611
11844 13969 69612
13969 21469 69613
21469 31259 69614
31259 2217 69615
2217 31453 69616
31453 27947 69617
27947 43961 69618
43961 34555 69619
34555 8038 69620
8038 13463 69621
13463 12055 69622
12055 29032 69623
29032 6152 69624
6152 133 69625
133 8683 69626
8683 19420 69627
19420 20227 69628
20227 14222 69629
14222 28656 69630
28656 44427 69631
44427 3243 69632
3243 20959 69633
20959 25810 69634
25810 35675 69635
35675 5814 69636
5814 27239 69637
27239 7396 69638
7396 18183 69639
18183 39810 69640
39810 45212 69641
45212 1898 69642
1898 37213 69643
37213 40780 69644
40780 16583 69645
16583 12175 69646
12175 22433 69647
22433 2217 69648
2217 42675 69649
42675 30225 69650
30225 25352 69651
25352 40001 69652
40001 35394 69653
35394 10848 69654
10848 8542 69655
8542 19583 69656
19583 22920 69657
22920 13986 69658
13986 10064 69659
10064 9683 69660
9683 19214 69661
19214 49298 69662
49298 22147 69663
22147 27712 69664
27712 40912 69665
40912 44140 69666
44140 26811 69667
26811 46974 69668
46974 2400 69669
2400 34419 69670
34419 28293 69671
28293 4649 69672
4649 11073 69673
11073 27388 69674
27388 42237 69675
42237 33872 69676
33872 5484 69677
5484 12032 69678
12032 36408 69679
36408 43879 69680
43879 31470 69681
31470 20206 69682
20206 12012 69683
12012 4101 69684
4101 48712 69685
48712 26166 69686
26166 12419 69687
12419 40871 69688
40871 26142 69689
26142 8719 69690
8719 16428 69691
16428 33787 69692
33787 39657 69693
39657 30018 69694
30018 48234 69695
48234 23334 69696
23334 42277 69697
42277 48716 69698
48716 33747 69699
33747 2223 69700
2223 13331 69701
13331 8944 69702
8944 12434 69703
12434 34241 69704
34241 3160 69705
3160 36755 69706
36755 4277 69707
4277 28669 69708
28669 17516 69709
17516 3086 69710
3086 40063 69711
40063 23413 69712
23413 26125 69713
26125 6496 69714
6496 13447 69715
13447 47714 69716
47714 13913 69717
13913 27322 69718
