500 2000
399 322 1
66 496 1
229 260 2
228 20 1
91 395 1
183 260 2
49 361 2
58 34 1
9 351 2
186 242 2
451 496 2
98 73 2
111 490 1
18 361 2
146 487 2
407 310 1
116 170 2
158 104 2
150 242 1
322 22 2
208 43 2
400 419 2
163 350 2
176 393 2
435 350 1
436 180 1
114 163 2
320 163 2
5 127 2
493 361 2
85 14 1
325 262 2
267 218 2
258 195 1
8 322 2
65 73 1
424 319 1
225 262 1
154 308 1
286 498 2
73 23 1
328 56 1
412 351 2
458 221 2
175 434 2
476 476 1
316 34 1
395 73 2
447 262 2
262 260 1
1 195 1
6 22 1
486 180 1
445 139 2
97 73 2
53 141 1
247 498 1
212 419 1
197 361 2
385 395 1
388 310 2
157 34 2
52 218 2
324 404 2
369 221 1
186 361 1
216 375 1
59 71 1
267 221 2
177 43 2
428 221 2
303 441 1
280 404 1
169 310 1
452 43 2
482 442 1
467 141 2
63 375 1
175 139 1
61 498 2
159 22 2
238 319 2
422 393 1
477 23 1
162 404 2
150 211 1
54 308 1
125 180 2
211 310 2
388 221 2
410 170 2
309 141 1
173 44 2
317 71 1
469 322 1
40 208 1
499 404 2
253 56 2
279 260 1
423 34 1
464 139 2
122 496 1
343 393 2
421 242 1
16 195 1
329 322 1
398 34 1
230 375 2
367 404 1
152 442 2
461 260 2
14 218 2
3 404 1
177 375 1
361 308 2
85 73 2
232 442 1
202 393 1
11 351 1
300 434 2
91 141 2
96 22 2
45 195 2
385 139 2
412 498 2
89 211 2
272 104 1
67 375 1
335 404 2
172 490 1
459 12 1
426 262 2
287 43 1
332 466 2
23 34 2
280 56 1
214 387 1
435 376 2
285 407 2
463 195 2
364 442 2
201 393 2
99 441 2
470 71 2
378 361 1
500 14 1
291 351 1
149 242 1
414 466 2
418 104 1
437 73 2
260 260 1
352 22 2
226 351 2
418 211 2
415 350 2
52 404 1
354 466 2
308 419 1
201 163 1
481 487 1
54 218 1
362 14 1
415 71 2
187 395 1
107 319 2
157 262 2
434 375 1
253 322 1
273 195 1
14 170 2
104 127 1
288 407 1
425 376 1
139 127 2
495 498 1
43 393 2
132 208 2
418 496 2
170 71 1
353 308 1
262 487 1
78 180 2
86 375 1
1 211 1
311 466 1
73 195 2
182 163 1
455 23 2
236 221 1
87 361 2
12 208 1
339 20 2
484 322 1
60 310 1
11 208 1
204 208 1
361 44 1
432 387 1
255 56 2
171 23 1
32 221 1
126 466 2
68 208 1
33 404 2
52 395 2
48 496 1
95 260 1
431 407 1
353 22 2
446 487 2
421 221 1
378 375 2
454 375 2
351 141 2
477 407 2
198 361 2
1 43 1
415 221 2
219 141 2
70 260 1
37 376 2
1 487 2
291 14 2
325 12 1
421 73 2
406 434 1
333 170 1
386 44 1
413 43 1
206 141 2
1 44 2
50 71 2
430 419 1
192 442 2
284 387 1
1 361 1
417 253 2
275 253 2
387 242 2
403 496 2
14 434 2
53 498 1
53 350 1
445 23 1
454 22 1
178 71 1
28 351 1
425 419 1
88 170 2
479 14 1
340 73 1
386 260 2
137 393 1
40 23 2
17 260 1
107 218 2
303 180 2
37 375 2
80 419 2
284 211 1
420 407 1
108 376 2
182 476 1
60 71 2
371 395 1
373 496 1
415 71 2
169 73 1
297 351 1
157 351 2
240 487 1
301 498 2
371 351 2
439 44 1
436 490 1
210 361 2
28 253 2
311 476 2
386 180 2
131 242 2
30 14 1
488 419 1
245 20 2
209 56 2
168 310 2
242 442 2
433 211 1
359 139 2
53 498 2
104 476 1
343 141 1
396 361 2
237 262 1
307 253 1
330 441 1
197 71 2
203 141 2
373 12 2
151 322 2
273 139 2
178 442 2
408 310 1
402 260 1
116 73 2
115 407 2
5 407 1
79 498 1
14 351 1
31 141 2
52 319 1
228 23 1
172 12 1
206 442 2
417 195 1
459 170 1
351 127 2
102 34 1
350 34 1
27 407 2
350 310 2
120 419 1
391 350 1
116 490 2
84 262 2
320 310 2
82 476 2
384 308 2
38 127 1
37 395 1
350 310 1
223 14 1
408 393 1
215 20 2
168 195 2
44 43 1
443 351 1
290 104 2
458 490 1
245 12 1
187 419 1
180 195 1
472 262 2
116 375 1
178 170 1
129 498 2
109 56 1
362 211 1
278 490 2
121 73 1
296 44 2
267 20 2
194 476 1
324 404 2
51 139 2
484 73 1
17 208 2
499 322 1
416 12 2
1 350 1
1 260 1
436 56 2
10 322 2
403 43 2
216 253 2
212 43 1
431 23 2
313 404 1
295 319 1
99 141 2
163 498 1
245 393 2
44 34 1
15 387 1
430 195 1
166 180 1
135 73 1
484 262 2
92 319 1
107 476 1
232 375 2
141 498 2
118 442 1
340 242 2
415 180 1
49 404 1
237 498 2
393 71 1
220 375 1
84 71 2
211 208 1
76 71 2
375 221 1
157 34 2
302 496 1
298 441 1
64 180 1
99 260 1
218 73 2
250 361 2
31 71 1
193 104 1
337 395 1
70 34 2
125 104 1
8 442 2
175 195 1
25 71 2
191 375 2
19 260 1
191 322 2
1 221 2
329 407 2
359 127 2
90 419 2
222 12 1
206 376 1
1 12 1
312 490 1
361 376 2
207 387 2
437 387 2
399 319 1
306 322 2
147 180 1
299 43 1
145 253 2
77 127 1
42 73 1
339 319 2
203 351 2
303 441 2
454 434 1
55 441 2
488 253 2
407 218 1
137 350 1
1 14 1
166 496 1
370 141 1
484 419 1
367 22 1
285 221 2
394 139 2
203 221 1
383 141 1
1 441 1
210 208 1
361 376 1
313 387 1
483 104 2
421 170 2
325 262 2
471 387 1
428 260 2
267 127 1
110 361 1
393 43 1
92 350 2
112 44 1
84 260 2
440 56 2
237 44 2
426 441 1
136 350 2
403 376 1
203 308 1
36 498 2
392 163 2
498 71 1
381 434 1
202 211 1
192 260 1
330 22 1
182 441 1
283 498 1
241 34 1
252 466 1
476 44 1
122 20 1
67 139 1
12 221 1
126 487 1
494 208 2
10 56 2
272 163 2
399 351 1
478 387 2
31 23 1
390 476 2
139 170 2
318 43 1
356 180 1
279 14 2
83 20 2
130 104 2
320 170 2
72 496 2
493 139 1
290 104 2
335 211 1
205 498 1
429 180 2
127 211 1
420 395 2
440 180 2
97 376 1
413 221 2
285 476 1
498 71 2
232 419 1
426 404 2
418 319 2
351 262 1
133 56 2
113 441 1
1 242 2
2 496 1
439 44 2
228 127 2
260 163 1
42 43 2
89 441 1
196 262 1
23 141 1
133 12 2
43 211 2
426 260 2
403 221 1
263 498 2
47 498 1
1 262 1
90 43 2
361 221 1
346 487 1
339 487 1
4 442 2
125 12 1
302 407 2
462 23 1
50 393 1
48 73 1
492 104 1
459 141 2
43 393 2
169 12 2
485 262 2
211 498 2
270 34 1
311 260 2
487 12 1
280 34 2
101 253 2
132 22 1
317 496 1
111 404 1
264 308 1
282 496 1
421 71 1
37 44 1
150 322 1
493 22 1
242 351 1
123 139 2
493 319 1
144 170 1
437 376 1
149 180 2
401 407 2
305 434 1
460 127 2
247 361 2
353 387 1
275 195 1
8 127 1
13 466 2
461 73 1
483 12 2
58 260 1
416 496 1
22 466 2
1 498 1
97 476 2
483 195 2
228 242 1
331 310 1
373 163 2
322 44 1
342 43 2
252 195 1
434 163 1
390 487 2
245 308 2
338 351 2
186 490 2
363 262 1
456 393 2
172 308 2
195 376 2
261 14 1
1 163 1
82 441 1
69 487 2
353 20 2
111 476 1
313 375 1
4 180 2
228 441 1
479 476 1
125 12 2
134 221 1
285 434 2
45 376 1
78 419 2
478 180 1
233 20 1
239 14 2
373 22 2
284 310 1
354 56 2
454 487 1
150 496 2
4 23 2
289 350 1
455 395 2
486 350 1
67 376 2
121 393 2
413 407 2
420 208 2
162 319 1
33 387 2
242 476 1
136 71 2
275 322 2
205 141 1
339 141 2
33 22 1
439 487 1
298 195 1
37 180 1
131 387 2
307 419 2
366 476 2
458 387 2
1 71 2
348 404 2
286 139 1
14 350 1
107 407 1
241 195 1
1 490 1
118 141 2
171 73 1
312 23 1
231 139 1
364 496 1
387 496 2
295 260 1
36 496 2
23 442 1
222 375 2
8 253 1
476 44 1
357 361 1
394 351 1
232 442 1
24 141 1
145 322 2
102 441 1
493 498 1
429 170 1
480 262 2
402 139 1
168 163 1
63 395 1
9 208 2
339 387 2
432 253 1
450 310 1
90 141 1
141 375 2
217 434 1
296 407 2
309 322 2
331 496 2
474 14 2
324 310 2
79 44 2
156 350 2
172 139 2
1 496 2
4 310 1
3 393 1
402 73 1
342 14 2
298 476 1
327 56 2
177 104 1
421 20 1
225 43 1
422 376 1
392 310 1
492 375 1
22 104 1
166 170 1
187 308 2
285 351 1
236 14 2
266 139 1
293 498 2
339 322 1
130 310 2
185 139 2
148 351 1
150 43 2
430 387 1
78 73 1
16 22 1
214 310 2
226 434 2
14 387 1
417 208 2
1 351 1
93 361 1
371 395 1
124 163 2
103 141 1
280 441 1
1 395 2
207 163 1
164 43 1
487 498 1
290 253 2
127 260 1
150 404 2
286 163 2
457 434 2
168 211 1
15 434 1
272 12 1
328 208 1
343 14 1
481 208 1
53 242 1
228 393 1
416 376 1
417 208 1
384 170 2
449 496 2
128 310 2
59 163 2
470 476 1
401 441 1
433 310 1
91 14 2
161 466 1
302 20 1
407 163 2
147 466 2
144 141 2
482 490 1
172 211 1
207 395 1
122 221 1
396 351 2
50 441 2
325 490 2
421 44 2
329 376 1
415 242 1
383 195 2
243 361 1
488 139 1
380 34 1
67 322 1
438 44 2
463 350 1
354 139 2
143 180 1
180 170 2
7 73 2
161 434 1
300 441 2
348 476 2
242 56 2
249 419 1
242 208 1
418 22 1
280 56 1
464 73 1
225 208 1
144 208 1
190 14 2
464 139 2
219 56 2
426 466 2
500 23 2
152 56 1
422 180 1
499 262 2
47 351 2
1 56 2
218 322 2
303 56 2
131 170 1
91 487 2
82 310 1
71 322 1
474 310 1
7 195 1
315 141 2
156 242 1
6 376 2
334 387 1
283 208 2
376 73 1
262 170 1
392 104 2
186 419 2
417 404 2
61 466 1
426 466 1
277 104 1
176 56 1
144 441 1
142 218 2
251 22 2
416 361 2
10 141 2
150 104 2
220 498 2
437 71 1
437 43 2
118 23 2
246 211 1
1 139 2
261 260 2
129 487 1
27 141 2
277 434 2
112 350 2
181 361 2
262 211 2
222 319 1
458 43 2
334 163 2
270 73 2
