2500 100000
1 1053 68626
1053 2380 68627
2380 1391 68628
1391 227 68629
227 1303 68630
1303 2451 68631
2451 1951 68632
1951 2423 68633
2423 971 68634
971 720 68635
720 1580 68636
1580 456 68637
456 1444 68638
1444 2023 68639
2023 1315 68640
1315 501 68641
501 1906 68642
1906 2116 68643
2116 1355 68644
1355 1816 68645
1816 1796 68646
1796 1134 68647
1134 1736 68648
1736 205 68649
205 791 68650
791 1947 68651
1947 1076 68652
1076 738 68653
738 1524 68654
1524 1125 68655
1125 2133 68656
2133 1521 68657
1521 1122 68658
1122 1508 68659
1508 1373 68660
1373 717 68661
717 410 68662
410 1897 68663
1897 1857 68664
1857 2369 68665
2369 452 68666
452 1497 68667
1497 1587 68668
1587 1212 68669
1212 1897 68670
1897 1079 68671
1079 337 68672
337 1599 68673
1599 67 68674
67 234 68675
234 735 68676
735 1154 68677
1154 2055 68678
2055 1089 68679
1089 128 68680
128 1431 68681
1431 1500 68682
1500 1245 68683
1245 758 68684
758 1254 68685
1254 2010 68686
2010 271 68687
271 2405 68688
2405 635 68689
635 1887 68690
1887 1643 68691
1643 812 68692
812 91 68693
91 701 68694
701 2418 68695
2418 1244 68696
1244 699 68697
699 230 68698
230 2057 68699
2057 776 68700
776 2099 68701
2099 1431 68702
1431 1251 68703
1251 2151 68704
2151 1673 68705
1673 1022 68706
1022 983 68707
983 1985 68708
1985 1059 68709
1059 1011 68710
1011 2240 68711
2240 2454 68712
2454 2309 68713
2309 2283 68714
2283 2411 68715
2411 2409 68716
2409 1129 68717
1129 1308 68718
1308 109 68719
109 882 68720
882 481 68721
481 1566 68722
1566 810 68723
810 896 68724
896 2084 68725
2084 1630 68726
1630 90 68727
90 953 68728
953 1221 68729
1221 1050 68730
1050 1456 68731
1456 1033 68732
1033 574 68733
574 178 68734
178 2071 68735
2071 2163 68736
2163 1262 68737
1262 1329 68738
1329 191 68739
191 1480 68740
1480 1120 68741
1120 893 68742
893 2354 68743
2354 2049 68744
2049 1630 68745
1630 1179 68746
1179 304 68747
304 2341 68748
2341 1327 68749
1327 1304 68750
1304 1329 68751
1329 293 68752
293 2177 68753
2177 2467 68754
2467 371 68755
371 1438 68756
1438 2084 68757
2084 2304 68758
2304 1258 68759
1258 142 68760
142 633 68761
633 1830 68762
1830 1898 68763
1898 1564 68764
1564 700 68765
700 394 68766
394 1161 68767
1161 1052 68768
1052 1926 68769
1926 110 68770
110 2130 68771
2130 1140 68772
1140 59 68773
59 1283 68774
1283 639 68775
639 1833 68776
1833 1502 68777
1502 2324 68778
2324 1664 68779
1664 982 68780
982 1072 68781
1072 952 68782
952 2473 68783
2473 148 68784
148 469 68785
469 1920 68786
1920 2232 68787
2232 1889 68788
1889 615 68789
615 2283 68790
2283 1385 68791
1385 409 68792
409 2017 68793
2017 668 68794
668 2300 68795
2300 1816 68796
1816 1261 68797
1261 579 68798
579 439 68799
439 858 68800
858 2494 68801
2494 2228 68802
2228 2241 68803
2241 2377 68804
2377 1634 68805
1634 2499 68806
2499 2468 68807
2468 719 68808
719 2197 68809
2197 790 68810
790 1563 68811
1563 693 68812
693 1945 68813
1945 799 68814
799 2437 68815
2437 1281 68816
1281 1516 68817
1516 1723 68818
1723 2264 68819
2264 2377 68820
2377 582 68821
582 2403 68822
2403 1263 68823
1263 1297 68824
1297 604 68825
604 463 68826
463 1293 68827
1293 637 68828
637 789 68829
789 2050 68830
2050 1320 68831
1320 1361 68832
1361 2325 68833
2325 2116 68834
2116 2367 68835
2367 1592 68836
1592 2045 68837
2045 1232 68838
1232 11 68839
11 1934 68840
1934 1448 68841
1448 2242 68842
2242 1458 68843
1458 2161 68844
2161 1945 68845
1945 1294 68846
1294 259 68847
259 483 68848
483 1147 68849
1147 1019 68850
1019 2444 68851
2444 434 68852
434 815 68853
815 1241 68854
1241 2220 68855
2220 1163 68856
1163 426 68857
426 1827 68858
1827 1186 68859
1186 2252 68860
2252 265 68861
265 186 68862
186 1368 68863
1368 654 68864
654 803 68865
