1000 100000
1 113 1
113 219 2
219 876 3
876 457 4
457 993 5
993 372 6
372 177 7
177 245 8
245 228 9
228 181 10
181 831 11
831 954 12
954 244 13
244 144 14
144 397 15
397 106 16
106 682 17
682 832 18
832 171 19
171 866 20
866 360 21
360 403 22
403 67 23
67 117 24
117 450 25
450 111 26
111 120 27
120 9 28
9 787 29
787 282 30
282 267 31
267 51 32
51 715 33
715 250 34
250 311 35
311 853 36
853 450 37
450 794 38
794 962 39
962 633 40
633 703 41
703 549 42
549 885 43
885 480 44
480 356 45
356 326 46
326 182 47
182 540 48
540 420 49
420 445 50
445 791 51
791 4 52
4 85 53
85 216 54
216 385 55
385 226 56
226 915 57
915 283 58
283 834 59
834 859 60
859 67 61
67 265 62
265 821 63
821 467 64
467 521 65
521 78 66
78 765 67
765 174 68
174 391 69
391 803 70
803 178 71
178 109 72
109 49 73
49 852 74
852 300 75
300 748 76
748 365 77
365 82 78
82 713 79
713 399 80
399 379 81
379 960 82
960 324 83
324 850 84
850 266 85
266 279 86
279 877 87
877 349 88
349 561 89
561 255 90
255 309 91
309 60 92
60 719 93
719 700 94
700 576 95
576 24 96
24 68 97
68 206 98
206 761 99
761 354 100
354 632 101
632 172 102
172 494 103
494 137 104
137 137 105
137 32 106
32 738 107
738 718 108
718 192 109
192 609 110
609 289 111
289 306 112
306 868 113
868 941 114
941 218 115
218 102 116
102 225 117
225 403 118
403 915 119
915 790 120
790 430 121
430 130 122
130 135 123
135 717 124
717 322 125
322 896 126
896 861 127
861 722 128
722 162 129
162 804 130
804 939 131
939 657 132
657 902 133
902 615 134
615 199 135
199 751 136
751 827 137
827 711 138
711 492 139
492 842 140
842 549 141
549 919 142
919 32 143
32 972 144
972 885 145
885 525 146
525 346 147
346 44 148
44 101 149
101 231 150
231 301 151
301 637 152
637 390 153
390 753 154
753 747 155
747 925 156
925 306 157
306 12 158
12 125 159
125 146 160
146 417 161
417 339 162
339 635 163
635 739 164
739 975 165
975 266 166
266 576 167
576 43 168
43 796 169
796 377 170
377 320 171
320 233 172
233 770 173
770 248 174
248 656 175
656 42 176
42 857 177
857 529 178
529 454 179
454 932 180
932 600 181
600 342 182
342 512 183
512 667 184
667 407 185
407 806 186
806 256 187
256 910 188
910 389 189
389 34 190
34 125 191
125 546 192
546 811 193
811 54 194
54 292 195
292 755 196
755 785 197
785 884 198
884 3 199
3 516 200
516 19 201
19 312 202
312 488 203
488 80 204
80 514 205
514 896 206
896 823 207
823 666 208
666 37 209
37 531 210
531 607 211
607 357 212
357 651 213
651 253 214
253 224 215
224 718 216
718 447 217
447 123 218
123 259 219
259 593 220
593 568 221
568 354 222
354 524 223
524 432 224
432 668 225
668 867 226
867 989 227
989 338 228
338 149 229
149 555 230
555 425 231
425 341 232
341 220 233
220 509 234
509 845 235
845 954 236
954 958 237
958 605 238
605 60 239
60 393 240
393 560 241
560 971 242
971 388 243
388 801 244
801 563 245
563 565 246
565 465 247
465 562 248
562 926 249
926 180 250
180 518 251
518 153 252
153 49 253
49 202 254
202 621 255
621 32 256
32 519 257
519 193 258
193 498 259
498 24 260
24 851 261
851 358 262
358 839 263
839 239 264
239 332 265
332 239 266
239 887 267
887 8 268
8 624 269
624 212 270
212 310 271
310 383 272
383 767 273
767 677 274
677 402 275
402 576 276
576 720 277
720 959 278
959 640 279
640 897 280
897 620 281
620 47 282
47 665 283
665 900 284
900 150 285
150 920 286
920 44 287
44 341 288
341 215 289
215 90 290
90 282 291
282 487 292
487 405 293
405 490 294
490 72 295
72 655 296
655 829 297
829 998 298
998 213 299
213 81 300
81 836 301
836 294 302
294 469 303
469 289 304
289 272 305
272 887 306
887 782 307
782 269 308
269 656 309
656 614 310
614 343 311
343 418 312
418 452 313
452 926 314
926 776 315
776 196 316
196 23 317
23 342 318
342 344 319
344 840 320
840 555 321
555 468 322
468 359 323
359 305 324
305 773 325
773 887 326
887 189 327
189 152 328
152 803 329
803 928 330
928 737 331
737 680 332
680 197 333
197 694 334
694 722 335
722 647 336
647 423 337
423 803 338
