50000 100000
17792 42563 47
45996 19665 30
18666 15348 50
27726 44608 48
34149 4928 33
4640 42566 50
49364 6551 13
22544 29392 21
45707 49337 45
48289 29752 43
3511 31731 32
4179 33465 6
2345 10669 32
42617 28483 42
11150 24714 36
46652 47067 42
31128 45267 47
47648 44072 47
23388 9531 29
19176 15348 50
43795 42895 25
47790 33465 1
11921 25393 18
31125 47067 23
21646 22780 6
19258 667 4
20212 45267 36
26617 8486 23
48774 26683 10
23944 30410 11
21412 25393 17
42505 37634 19
18932 16315 50
13209 18125 20
16558 5709 23
7888 13053 27
37966 11160 25
42394 30774 10
40311 14428 3
39968 39023 41
48065 36649 42
14914 7797 33
2294 8984 30
12669 8984 39
26697 44608 44
6694 22939 21
43269 36632 6
46347 4502 22
17807 17711 10
32392 18558 14
13013 44072 16
26003 20839 12
21969 44072 24
34174 38564 12
3115 27959 47
4952 6551 17
11085 14428 15
15612 768 37
3278 30410 16
46723 15253 20
43857 36128 16
40790 24915 9
43278 2326 29
46029 33375 14
20253 13053 39
46995 39231 12
18000 19665 33
29605 30050 17
35686 44072 20
23818 33375 31
27093 47067 17
24346 8486 22
11615 29752 40
9294 32592 41
30090 13490 16
27835 31731 11
28380 7797 31
28448 30655 30
5025 39593 10
40365 1603 10
31114 48977 25
28593 6551 13
23673 42895 48
44935 29783 31
44101 30774 50
34310 33375 44
48608 4109 15
22942 27034 19
19042 44242 12
28197 39593 30
20745 48977 9
6012 38699 13
21281 41964 37
43884 13490 23
33909 2326 26
6624 15674 27
28525 26683 31
32734 18094 10
11479 16715 40
33786 21521 34
18324 38699 14
1442 39023 39
14509 24915 5
24542 38339 28
19409 2549 15
17203 27272 16
685 36632 12
43615 19665 23
37922 19935 31
22462 13490 3
4765 9531 29
24600 24614 7
42262 42566 37
1264 1820 8
39338 16653 20
49710 18094 39
14891 18125 21
24735 1603 39
44503 6551 15
21173 22780 3
21225 38699 6
37040 29767 46
9227 48977 24
18410 31731 39
33735 667 50
32294 26683 20
22791 29392 6
2757 29392 13
7362 2326 22
47641 4109 23
26712 27272 7
10082 21393 46
10034 30410 11
14994 17257 22
26346 24714 41
37607 39593 23
17113 46971 18
41070 12119 19
4406 49337 33
38578 22780 6
34434 22036 28
6775 44608 13
13027 9841 43
13943 13490 42
11700 42566 41
45595 36649 44
25406 39231 14
8804 1603 25
23907 27959 12
48937 28893 16
1997 44608 13
16738 20146 15
37354 19665 20
25682 25393 21
991 2326 35
37350 30655 19
37776 5709 28
19499 41964 38
22278 45267 41
38312 5709 22
43772 15520 10
18175 27272 47
30623 24714 37
18248 21393 46
17804 4928 18
18276 22780 39
17670 15348 19
17168 38131 12
36441 8486 11
21003 49337 40
25653 38339 14
30072 44072 38
45562 36632 5
8439 29752 36
38201 12119 12
17515 29767 12
2221 11160 37
21552 25393 44
21140 42563 44
20896 42223 50
34150 16315 24
17368 41007 14
22888 30050 27
46829 36632 40
31909 7797 11
3926 34020 24
47925 42895 32
1537 36128 13
32140 38131 20
47234 31033 45
37327 39742 42
32638 38564 4
20201 47067 46
46344 22036 38
39507 39593 12
23133 15348 20
27001 16715 33
47215 15348 18
40438 27272 22
9528 15253 8
4763 33375 1
22969 30050 20
2016 30774 49
49050 30774 5
30886 45267 47
35732 18094 5
36216 45267 40
11334 48977 25
44931 30050 9
47093 28893 21
9437 8486 26
24002 49337 28
28923 25393 17
30549 13490 45
18059 16653 13
46271 38339 27
24176 667 24
44315 27947 36
31826 42563 7
45229 49337 2
19375 24714 38
15431 4109 13
37230 12119 28
34703 34020 21
49040 38339 23
7482 14948 16
21386 29752 20
7187 14428 4
43418 37634 19
4839 31731 34
19061 42563 9
47548 22780 37
41492 33465 43
21071 29752 8
38598 29392 17
24993 37634 25
15478 11160 29
5427 25393 37
8500 48977 11
5260 47478 24
12643 41964 44
28310 27272 23
38640 28893 20
6739 39742 32
2907 13490 14
35363 42566 6
25991 15674 12
23219 7740 47
16554 28893 30
20234 15520 22
20878 36128 19
43449 4928 25
22161 47478 4
25872 34020 29
41566 17257 17
8114 39742 3
4046 25393 39
9867 15520 19
34644 21393 48
13042 15674 43
9840 768 20
41213 44608 49
36615 18558 11
16453 44242 48
18764 48977 20
7334 37920 14
27599 21393 9
44888 22036 49
33386 19665 9
977 22036 26
6892 38339 24
671 17257 22
29140 31033 39
23311 19608 28
49809 17711 4
4019 11160 26
14220 34020 1
48989 27959 10
28905 38699 22
49123 33375 40
2284 22036 11
18822 39593 11
31588 38699 23
46273 15253 11
11843 19608 14
35984 1603 20
20452 44242 16
20454 7740 37
10124 29783 31
23817 30774 44
15661 27959 40
2053 29752 12
25906 27959 18
33066 1603 49
34758 39593 2
38013 48977 20
17318 20839 7
13485 14948 8
34548 27272 15
31879 8984 31
26930 16715 27
5720 4502 30
1 42563 5
17830 48977 19
27776 4109 2
17322 44242 14
35797 19935 32
42043 41007 20
24825 45267 44
