50000 100000
31336 41887 10
47262 44225 2
34663 33943 4
36002 18483 6
47126 20843 9
36697 26033 4
2127 34103 4
37614 37838 5
25968 19578 1
1 11582 7
1 45294 2
39092 17045 6
1577 1795 9
1 42148 5
45336 19355 3
24921 21398 4
3049 36016 4
26810 27401 6
141 30593 4
22165 31423 2
12566 29193 2
31101 16063 9
14484 35451 10
36020 33766 6
13537 3586 8
36840 25999 10
28936 11857 9
9699 38690 6
33826 45547 10
2659 13378 1
43322 5603 2
36690 6693 3
16521 13873 2
15852 3506 2
10365 25109 7
35206 10086 3
43361 20461 4
18783 22710 10
39860 2380 1
42635 17058 6
27514 21612 10
4927 1459 2
11497 22188 9
10140 2806 5
47289 2340 9
17746 34592 1
18012 43615 3
22763 37818 5
34833 30588 3
24347 15879 7
26187 4865 6
29715 28742 3
36827 46 6
11585 17380 6
21975 46600 1
28394 46655 5
2732 12397 9
23132 40985 9
23257 42963 7
11061 26127 1
33141 43646 2
13966 1866 7
25826 25070 6
32267 17409 9
44175 41947 8
26146 23423 3
14594 41593 10
24387 46781 1
35541 17805 1
27649 3913 4
9485 49910 7
27756 23161 7
8841 18679 9
19073 20175 10
45915 23686 3
38733 31227 8
34053 29884 2
12911 27019 7
41806 24228 9
1483 26361 3
34427 21430 4
36804 24343 1
43326 8933 3
48533 44774 9
38918 33293 2
8515 40489 9
17827 6157 6
48035 6155 3
39784 27078 10
33296 37939 6
35861 46961 9
19769 8061 4
18263 48536 2
7390 6760 1
35105 3307 5
9348 23094 4
37492 7009 7
45388 5862 5
874 16005 10
765 25447 5
32762 8519 5
1 33345 3
18831 40856 4
36633 19717 3
16540 34097 4
8382 5463 2
29099 28630 10
11935 18627 6
25611 41961 9
14474 44319 7
43399 12402 8
20950 5524 8
16661 8321 3
42398 14323 4
23507 24429 10
45064 15692 8
48490 15889 1
26116 5452 6
8422 5210 4
18139 25634 5
12184 40543 4
41489 43370 1
10881 24769 8
49257 20948 6
37640 7035 6
33541 12298 7
1 35908 6
3482 14465 3
22868 32200 4
46568 34138 10
11611 1250 8
34385 37386 1
29704 29622 7
46656 34224 3
11270 3466 2
31753 45328 8
26360 15856 2
5166 40079 2
17583 44448 5
41392 23223 4
1 21215 4
17086 13250 3
30182 468 7
166 12689 6
46906 47442 7
17813 45871 9
1 26456 8
7972 5 7
23759 15561 4
8452 28342 7
10658 49769 2
1 13983 9
18887 21107 7
1587 27988 7
12576 22209 6
37273 24372 3
1 47506 4
3850 9423 1
30764 29241 9
36700 38154 2
26353 44759 10
47710 43260 4
47887 4606 8
44413 22773 7
29979 23008 7
25945 8811 4
