1000 2000
245 167 10
171 708 42
625 907 23
983 125 49
434 559 46
172 187 24
79 283 28
637 662 38
466 838 28
106 730 45
602 732 15
443 53 48
1 295 4
401 366 28
972 416 12
1 656 37
654 559 44
172 318 23
665 16 8
74 96 4
193 340 21
456 438 12
1 429 16
383 553 33
458 114 43
787 557 27
988 164 25
498 504 18
667 989 11
382 587 13
155 699 24
166 883 48
816 521 42
280 87 25
403 114 44
690 546 30
635 87 24
744 238 46
140 634 17
55 987 10
585 670 33
673 803 44
502 459 13
392 989 13
347 553 33
687 725 41
826 702 18
445 803 45
432 564 42
114 708 41
1 367 42
750 340 20
622 330 10
646 838 27
624 675 15
101 732 18
272 775 50
861 907 24
839 98 50
841 459 12
89 55 13
1 952 19
550 429 18
376 61 40
828 381 30
829 114 45
791 289 38
811 289 39
344 235 21
422 542 15
1 857 18
242 461 13
718 407 45
818 366 28
565 496 28
494 900 6
611 521 41
1 53 50
484 483 16
22 576 23
658 988 50
886 803 43
805 481 42
1 662 22
150 765 35
348 167 11
434 407 44
1 521 41
701 564 45
713 596 11
1 220 14
128 143 46
399 98 1
1 929 9
17 865 19
44 560 50
758 929 10
339 809 19
480 596 12
159 459 13
983 699 26
838 232 21
1 381 31
289 587 11
1 596 4
1 39 26
350 952 17
374 435 40
26 577 17
545 987 9
1 125 50
174 843 35
953 461 13
171 857 18
433 435 41
1 616 42
861 587 13
617 282 26
208 239 24
594 637 5
873 6 33
221 957 13
247 546 33
480 597 17
99 929 7
348 583 42
1 330 9
617 860 4
683 96 2
98 702 21
852 144 21
996 295 3
646 559 45
255 725 43
736 182 26
162 473 4
775 922 2
653 6 35
25 679 28
984 220 14
964 848 21
758 385 36
320 114 44
262 886 46
239 564 43
184 786 47
394 635 46
1 662 25
732 458 46
975 367 45
704 891 14
803 649 30
119 239 26
165 429 19
759 559 46
201 532 20
750 187 22
917 888 49
717 104 28
91 900 4
27 732 14
231 553 33
42 398 12
46 238 47
753 26 21
643 55 17
234 670 32
316 23 42
278 587 12
53 491 45
11 16 10
278 398 9
543 409 44
342 576 21
284 900 2
911 809 19
323 730 44
1 55 14
846 675 17
189 560 48
442 635 48
767 97 2
389 922 2
752 686 25
1 634 19
917 987 11
749 55 15
301 53 2
169 649 33
690 401 36
704 282 26
457 461 14
61 224 50
489 656 38
256 167 11
378 982 9
187 237 16
466 546 29
176 458 41
496 221 11
671 838 27
191 539 42
1 784 12
1 438 13
424 330 9
253 809 19
251 55 17
866 860 1
271 838 28
863 867 21
82 670 32
976 132 42
54 550 38
192 435 41
224 732 17
824 473 7
939 521 41
105 773 4
338 435 42
107 295 5
480 55 16
338 809 20
293 114 46
598 325 31
610 409 41
55 828 4
599 220 15
914 283 29
697 283 30
1 661 48
192 381 29
1 891 15
879 883 47
891 232 19
1 688 36
475 803 42
664 435 43
680 167 10
507 784 12
64 481 44
325 385 39
471 53 2
410 609 4
981 675 14
1 340 20
1 637 5
95 496 29
716 459 14
395 61 41
383 496 29
347 104 49
514 416 13
746 952 16
65 824 34
778 953 23
780 867 19
470 616 44
908 409 43
868 340 20
55 144 20
68 461 15
169 72 6
80 347 7
975 238 49
135 220 12
575 929 9
911 553 35
706 330 10
915 865 18
537 546 31
72 583 41
302 518 42
959 427 23
